x0,width,sample,prediction,at_row,slope,row_error,train_rmse,probe_rmse
2.8,0.35,grid,3.7738545445864524,3.7722880708990916,-0.011177692704211485,-0.0015664736873608476,0.0102080164870935,0.00759937587883646
2.8,0.35,7,3.7738545445864524,3.771224004365165,-0.019940099638027658,-0.002630540221287614,0.0069616091409978416,0.005382547360212292
2.8,0.35,29,3.7738545445864524,3.7745991938732013,-0.015485832144807561,0.0007446492867488885,0.009819076322428136,0.006898742855269577
2.8,1.0,grid,3.7738545445864524,3.7623121032694966,0.21505090148996425,-0.01154244131695581,0.14903112837925997,0.07373726510693561
2.8,1.0,7,3.7738545445864524,3.806199496196436,0.2431253026759173,0.03234495160998341,0.12287869505931164,0.0881082570904096
2.8,1.0,29,3.7738545445864524,3.757560301095556,0.22989501832324968,-0.016294243490896587,0.15726622622027783,0.07876533561014201
2.8,2.5,grid,3.7738545445864524,3.8107739775992275,0.48748209687572325,0.036919433012775116,0.34640991072271776,0.15729663212775616
2.8,2.5,7,3.7738545445864524,3.8258004373246504,0.5016253340512842,0.05194589273819794,0.2893254565157334,0.16553954830441622
2.8,2.5,29,3.7738545445864524,3.7518208972911014,0.45792596339433034,-0.022033647295351066,0.2980195679037239,0.14529078298282144
5.3,0.35,grid,4.874192662205269,4.885195735150213,1.0552075066225592,0.011003072944943959,0.02192881596644515,0.012836648374727515
5.3,0.35,7,4.874192662205269,4.887478737379315,1.0475479473667322,0.013286075174045564,0.023919750756479674,0.014083707257525146
5.3,0.35,29,4.874192662205269,4.877658376680541,1.0585608670292017,0.003465714475272108,0.01615046460451402,0.015095878409157352
5.3,1.0,grid,4.874192662205269,4.965323762417353,0.8470288747904202,0.09113110021208382,0.18130093439370912,0.10421716576575385
5.3,1.0,7,4.874192662205269,4.966867449915434,0.8240378709336407,0.09267478771016524,0.2141870984974659,0.10978330681394077
5.3,1.0,29,4.874192662205269,4.938820506403533,0.8058411678334472,0.06462784419826395,0.19201577906148445,0.09558355665598833
5.3,2.5,grid,4.874192662205269,5.100114813720388,0.5629543417049148,0.2259221515151193,0.37850691576566087,0.26132593285757016
5.3,2.5,7,4.874192662205269,5.120699047487069,0.5529459188099214,0.24650638528179947,0.3267388549697474,0.27999555819154953
5.3,2.5,29,4.874192662205269,4.994022439324631,0.5337941989291586,0.11982977711936194,0.3392080458957966,0.19188309747820334
7.5,0.35,grid,6.832432315631637,6.796292520906359,0.3335356398873867,-0.03613979472527795,0.05027264685749346,0.02528099939786935
7.5,0.35,7,6.832432315631637,6.831749709093516,0.19677824544985553,-0.0006826065381213553,0.026610956272272515,0.050176985322117014
7.5,0.35,29,6.832432315631637,6.8286268981212555,0.20559227485748252,-0.003805417510381659,0.03452592568081412,0.046772038149528225
7.5,1.0,grid,6.832432315631637,6.602932201300349,0.4250602347602639,-0.22950011433128825,0.2599006182633555,0.20719771098651163
7.5,1.0,7,6.832432315631637,6.595946058511799,0.4882558638513795,-0.2364862571198385,0.22468608035412937,0.21738273556093266
7.5,1.0,29,6.832432315631637,6.5515253806474165,0.44827692038839556,-0.2809069349842206,0.26875667754138427,0.25879177368469236
7.5,2.5,grid,6.832432315631637,6.34435126856704,0.5427008701987616,-0.4880810470645969,0.3912811139069287,0.46733042141087494
7.5,2.5,7,6.832432315631637,6.383086484404816,0.5423121283301153,-0.4493458312268208,0.35190670636521837,0.4290249942669634
7.5,2.5,29,6.832432315631637,6.26350810144228,0.5486098618862224,-0.5689242141893569,0.3754310142247856,0.5476474610738448
